Process Information on Wed Oct 30 09:34:01 PM +03 2024:

Process Tree:
UID          PID    PPID  C STIME TTY          TIME CMD
root           2       0  0 21:07 ?        00:00:00 [kthreadd]
root           3       2  0 21:07 ?        00:00:00  \_ [pool_workqueue_release]
root           4       2  0 21:07 ?        00:00:00  \_ [kworker/R-rcu_gp]
root           5       2  0 21:07 ?        00:00:00  \_ [kworker/R-sync_wq]
root           6       2  0 21:07 ?        00:00:00  \_ [kworker/R-slub_flushwq]
root           7       2  0 21:07 ?        00:00:00  \_ [kworker/R-netns]
root           8       2  0 21:07 ?        00:00:01  \_ [kworker/0:0-events]
root          11       2  0 21:07 ?        00:00:00  \_ [kworker/u512:0-ipv6_addrconf]
root          12       2  0 21:07 ?        00:00:00  \_ [kworker/R-mm_percpu_wq]
root          13       2  0 21:07 ?        00:00:00  \_ [rcu_tasks_kthread]
root          14       2  0 21:07 ?        00:00:00  \_ [rcu_tasks_rude_kthread]
root          15       2  0 21:07 ?        00:00:00  \_ [rcu_tasks_trace_kthread]
root          16       2  0 21:07 ?        00:00:00  \_ [ksoftirqd/0]
root          17       2  0 21:07 ?        00:00:01  \_ [rcu_preempt]
root          18       2  0 21:07 ?        00:00:00  \_ [rcu_exp_par_gp_kthread_worker/1]
root          19       2  0 21:07 ?        00:00:00  \_ [rcu_exp_gp_kthread_worker]
root          20       2  0 21:07 ?        00:00:00  \_ [migration/0]
root          21       2  0 21:07 ?        00:00:00  \_ [idle_inject/0]
root          22       2  0 21:07 ?        00:00:00  \_ [cpuhp/0]
root          23       2  0 21:07 ?        00:00:00  \_ [cpuhp/1]
root          24       2  0 21:07 ?        00:00:00  \_ [idle_inject/1]
root          25       2  0 21:07 ?        00:00:00  \_ [migration/1]
root          26       2  0 21:07 ?        00:00:00  \_ [ksoftirqd/1]
root          28       2  0 21:07 ?        00:00:00  \_ [kworker/1:0H-events_highpri]
root          29       2  0 21:07 ?        00:00:01  \_ [kworker/u513:0-flush-8:0]
root          31       2  0 21:07 ?        00:00:00  \_ [kdevtmpfs]
root          32       2  0 21:07 ?        00:00:00  \_ [kworker/R-inet_frag_wq]
root          33       2  0 21:07 ?        00:00:02  \_ [kworker/u513:1-events_power_efficient]
root          34       2  0 21:07 ?        00:00:00  \_ [kauditd]
root          35       2  0 21:07 ?        00:00:00  \_ [khungtaskd]
root          36       2  0 21:07 ?        00:00:00  \_ [oom_reaper]
root          38       2  0 21:07 ?        00:00:00  \_ [kworker/R-writeback]
root          39       2  0 21:07 ?        00:00:00  \_ [kcompactd0]
root          40       2  0 21:07 ?        00:00:00  \_ [ksmd]
root          41       2  0 21:07 ?        00:00:00  \_ [khugepaged]
root          42       2  0 21:07 ?        00:00:00  \_ [kworker/R-kintegrityd]
root          43       2  0 21:07 ?        00:00:00  \_ [kworker/R-kblockd]
root          44       2  0 21:07 ?        00:00:00  \_ [kworker/R-blkcg_punt_bio]
root          45       2  0 21:07 ?        00:00:00  \_ [irq/9-acpi]
root          47       2  0 21:07 ?        00:00:00  \_ [kworker/R-tpm_dev_wq]
root          48       2  0 21:07 ?        00:00:00  \_ [kworker/R-ata_sff]
root          49       2  0 21:07 ?        00:00:00  \_ [kworker/R-md]
root          50       2  0 21:07 ?        00:00:00  \_ [kworker/R-md_bitmap]
root          51       2  0 21:07 ?        00:00:00  \_ [kworker/R-edac-poller]
root          52       2  0 21:07 ?        00:00:00  \_ [kworker/R-devfreq_wq]
root          53       2  0 21:07 ?        00:00:00  \_ [watchdogd]
root          54       2  0 21:07 ?        00:00:00  \_ [kworker/1:1H-kblockd]
root          55       2  0 21:07 ?        00:00:00  \_ [kswapd0]
root          56       2  0 21:07 ?        00:00:00  \_ [ecryptfs-kthread]
root          57       2  0 21:07 ?        00:00:00  \_ [kworker/R-kthrotld]
